Task	Task type	Needs review	Points	Full points deadline	Expires at	Link override	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html
5th test competition winner	competition		800		2027-01-14 21:00	test_competition_winner	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_winner
5th test competition 2nd place	competition		400		2027-01-14 21:00	test_competition_2nd_place	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_2nd_place
5th test competition 3rd place	competition		200		2027-01-14 21:00	test_competition_3rd_place	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_3rd_place
Delta X	competition		1000		2027-01-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_delta_x
Delta X with new mechanics	competition		1000		2027-01-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_delta_x_with_new_mechanics
Delta X with new electronics	competition		1000		2027-01-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_delta_x_with_new_electronics
Delta X best course robot	competition		1600		2027-01-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_delta_x_best_course_robot
Delta X 2nd best course robot	competition		800		2027-01-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_delta_x_2nd_best_course_robot
Delta X 3rd best course robot	competition		400		2027-01-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_delta_x_3rd_best_course_robot
Group: other
Team documentation started	documentation	1	200	2026-09-21 21:00	2026-11-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_team_documentation_started
Team documentation completed	documentation	1	400	2027-01-18 21:00	2027-01-20 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_team_documentation_completed
Final presentation	presentation		0		2027-01-21 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_final_presentation
Parts returned	other		0		2027-01-21 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_parts_returned
